發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
105,01,12,18,35,2,12內湖區,內湖區成功路3段162號,0,1,2,C03,1,28,2,6,50,14,09
105,01,13,08,23,2,12內湖區,內湖區新湖二路與新湖三路口,0,1,1,B12,1,28,3,7,40,4,01
105,01,13,08,23,2,12內湖區,內湖區新湖二路與新湖三路口,0,1,2,B03,2,56,3,7,40,4,01
105,01,13,08,23,2,12內湖區,內湖區新湖二路與新湖三路口,0,1,3,H02,1,28,2,7,40,4,01
105,01,13,08,23,2,12內湖區,內湖區新湖二路與新湖三路口,0,1,4,,3,105,,7,40,4,01
105,01,18,18,50,2,12內湖區,內湖區民權東路6段129號,0,1,1,C03,1,22,2,8,50,14,09
105,01,18,18,50,2,12內湖區,內湖區民權東路6段129號,0,1,2,B03,1,48,3,8,50,14,09
105,01,18,21,15,2,12內湖區,內湖區內湖路2段,0,1,1,B03,1,73,3,8,50,11,09
105,01,18,21,15,2,12內湖區,內湖區內湖路2段,0,1,2,C03,1,30,2,8,50,11,09
105,01,19,19,00,2,12內湖區,內湖區內湖路1段518巷,0,2,1,B03,1,25,2,8,50,14,09
105,01,19,19,00,2,12內湖區,內湖區內湖路1段518巷,0,2,2,B03,1,51,3,8,50,14,09
105,01,19,19,00,2,12內湖區,內湖區內湖路1段518巷,0,2,3,B03,1,43,3,8,50,14,09
105,01,19,19,00,2,12內湖區,內湖區內湖路1段518巷,0,2,4,B03,1,37,3,8,50,14,09
105,01,19,19,00,2,12內湖區,內湖區內湖路1段518巷,0,2,5,H02,1,65,2,8,50,14,09
105,01,19,21,40,2,12內湖區,內湖區民善街205號,0,1,1,C03,2,51,2,6,50,14,09
105,01,19,21,40,2,12內湖區,內湖區民善街205號,0,1,2,B03,1,34,3,6,50,14,09
105,01,20,20,35,2,12內湖區,內湖區成功路5段35巷,0,1,1,C03,1,43,2,6,50,4,02
105,01,20,20,35,2,12內湖區,內湖區成功路5段35巷,0,1,2,,3,105,,6,50,4,02
105,01,21,22,20,2,12內湖區,內湖區江南街65巷16弄,0,1,1,B03,1,39,3,6,50,4,02
105,01,21,22,20,2,12內湖區,內湖區江南街65巷16弄,0,1,2,C03,2,25,2,6,50,4,02
